Fighter_Name,Height,Weight,Reach,Stance,DOB,Wins,Losses,Draws,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,Fighter_URL,Image_URL,Recent_Form
Ernest Chavez,"5' 8""",145 lbs.,"70.0""",Orthodox,1983-06-27,10,2,0,2.79,40%,3.89,59%,0.89,33%,50%,0.0,http://ufcstats.com/fighter-details/b406da701c479076,,WWWWW
Emilio Chavez,"5' 9""",145 lbs.,,,,12,9,0,2.73,48%,1.53,54%,3.0,50%,0%,0.0,http://ufcstats.com/fighter-details/84e8920e59ff14a7,,WWWWW
Danny Chavez,"5' 8""",145 lbs.,"67.0""",Orthodox,1987-03-14,11,5,1,2.86,38%,3.83,50%,1.95,60%,87%,0.0,http://ufcstats.com/fighter-details/0de720c0f1d4ab9c,,WWWWW
Gabriel Checco,"6' 1""",185 lbs.,,Switch,1986-04-03,10,2,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/9c5f7d5c6d084b35,,WWWWW
Albert Cheng,"5' 11""",170 lbs.,,Orthodox,1985-02-07,7,4,0,1.0,41%,2.6,71%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/d8d7b24d276c8cb0,,WWWWW
Fabio Cherant,"6' 1""",205 lbs.,"74.0""",Southpaw,1994-11-25,7,4,0,1.35,40%,4.89,38%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/78a68f1dade6aaf7,,WWWWW
Ion Cherdivara,,205 lbs.,,,,1,1,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/c713a845360d604b,,WWWWW
Mark Cherico,"5' 7""",145 lbs.,"69.0""",Orthodox,1986-05-12,11,1,0,3.69,34%,7.37,56%,5.03,50%,0%,0.0,http://ufcstats.com/fighter-details/79a193111e3bc99b,,WWWWW
Macy Chiasson,"5' 11""",135 lbs.,"72.0""",Orthodox,1991-07-27,11,6,0,3.21,46%,2.76,44%,1.87,35%,62%,0.4,http://ufcstats.com/fighter-details/9cdd2da1a9104a0b,,WWWWW
Michael Chiesa,"6' 1""",170 lbs.,"75.0""",Southpaw,1987-12-07,19,7,0,2.03,40%,1.73,57%,3.05,47%,67%,1.0,http://ufcstats.com/fighter-details/c58f51dedb310998,,WWWWW
Giga Chikadze,"6' 0""",145 lbs.,"74.0""",Orthodox,1988-08-25,15,6,0,3.75,42%,3.47,59%,0.18,33%,65%,0.2,http://ufcstats.com/fighter-details/9560ff14eb3129f7,,WWWWW
Khamzat Chimaev,"6' 2""",185 lbs.,"75.0""",Orthodox,1994-05-01,15,1,0,4.04,60%,2.32,43%,5.29,55%,85%,1.8,http://ufcstats.com/fighter-details/767755fd74662dbf,https://www.sherdog.com/image_crop/200/300/_images/fighter/20220331075843_Khamzat_Chimaev_ff.JPG,WWWWW
Sako Chivitchian,"5' 11""",155 lbs.,,Orthodox,1984-03-11,8,1,0,2.4,27%,4.8,46%,0.0,0%,100%,0.0,http://ufcstats.com/fighter-details/9f7787e56a6bc0f4,,WWWWW
Mu Bae Choi,"6' 2""",230 lbs.,,Orthodox,1970-06-27,12,6,0,1.55,49%,3.65,44%,3.12,75%,60%,1.0,http://ufcstats.com/fighter-details/371a1c91b24dec2b,,WWWWW
Hong Man Choi,"7' 2""",330 lbs.,,Orthodox,1980-10-30,4,5,0,1.32,26%,1.46,36%,0.71,100%,84%,0.0,http://ufcstats.com/fighter-details/2c104b7e59a72629,,WWWWW
Dooho Choi,"5' 10""",145 lbs.,"70.0""",Orthodox,1991-04-10,16,4,1,4.67,56%,4.02,56%,1.43,53%,47%,0.6,http://ufcstats.com/fighter-details/e93b04e308913c2e,,WWWWW
SeungWoo Choi,"6' 0""",145 lbs.,"74.0""",Orthodox,1992-11-03,11,8,0,3.56,38%,3.16,47%,0.83,54%,70%,0.0,http://ufcstats.com/fighter-details/a68575214ecad140,,WWWWW
SeungGuk Choi,"5' 6""",125 lbs.,"64.0""",Orthodox,1996-12-26,7,3,0,2.69,42%,2.69,65%,1.02,27%,74%,0.0,http://ufcstats.com/fighter-details/adccbc19b22e19af,,WWWWW
DongHun Choi,"5' 5""",125 lbs.,"66.0""",Switch,1999-01-02,9,0,0,4.54,66%,3.13,58%,0.46,14%,81%,0.0,http://ufcstats.com/fighter-details/3be16d817b36098b,,WWWWW
Mark Choinski,"5' 8""",155 lbs.,"69.0""",Orthodox,1995-10-22,8,1,0,3.87,50%,7.33,33%,2.0,18%,0%,0.0,http://ufcstats.com/fighter-details/001eb2ab0f30e7ea,,WWWWW
John Cholish,"5' 11""",155 lbs.,"74.0""",Orthodox,1983-12-17,8,3,0,2.65,49%,2.29,73%,1.82,31%,78%,0.4,http://ufcstats.com/fighter-details/03c9994c5b8958ec,,WWWWW
Ryo Chonan,"5' 9""",170 lbs.,"70.0""",Orthodox,1976-10-08,22,13,0,2.57,43%,2.25,60%,0.61,41%,39%,0.3,http://ufcstats.com/fighter-details/55a7b2d4e54ffac9,,WWWWW
Will Chope,"6' 4""",145 lbs.,,Switch,1990-09-08,34,13,0,4.43,27%,9.93,46%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/db5dc7cb80d7d418,,WWWWW
Cody Chovancek,"5' 8""",135 lbs.,"67.0""",Switch,1998-07-24,9,0,0,2.85,50%,2.46,51%,0.0,0%,83%,0.0,http://ufcstats.com/fighter-details/3c4320a1b6106611,,WWWWW
Joachim Christensen,"6' 3""",205 lbs.,"76.0""",Orthodox,1978-11-07,14,6,0,3.78,41%,3.29,46%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/2d447cc91bdaa545,,WWWWW
Kevin Christian,"6' 7""",205 lbs.,"80.0""",Orthodox,1995-01-21,9,3,0,1.64,56%,2.65,44%,0.0,0%,50%,2.3,http://ufcstats.com/fighter-details/7e9b36a9847db116,,WWWWW
Dan Christison,"6' 8""",265 lbs.,,Orthodox,1972-04-26,20,7,0,4.23,51%,3.88,54%,0.0,0%,37%,1.1,http://ufcstats.com/fighter-details/b369533a577fa97c,,WWWWW
Anthony Christodoulou,"5' 9""",155 lbs.,,Orthodox,1987-07-30,12,7,0,2.19,26%,5.9,45%,0.0,0%,40%,0.0,http://ufcstats.com/fighter-details/4f11e9ce318ffbcb,,WWWWW
Murad Chunkaiev,"5' 11""",185 lbs.,,Orthodox,,8,4,0,0.85,16%,3.41,66%,8.53,100%,0%,0.0,http://ufcstats.com/fighter-details/d4a12dfa4067742f,,WWWWW
Cameron Church,"5' 11""",155 lbs.,"72.0""",Orthodox,1990-09-27,4,1,0,4.0,40%,4.93,50%,0.0,0%,60%,1.0,http://ufcstats.com/fighter-details/f197ce0cbe69996d,,WWWWW
Steven Ciaccio,"6' 0""",170 lbs.,,,,4,4,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/eaebaa6801338ea1,,WWWWW
Mike Ciesnolevicz,"6' 0""",235 lbs.,,Orthodox,1979-10-28,19,4,0,0.51,50%,4.62,57%,0.0,0%,20%,5.1,http://ufcstats.com/fighter-details/51b0bb73a1da34bc,,WWWWW
Hannah Cifers,"5' 1""",115 lbs.,"62.0""",Orthodox,1992-06-26,10,7,0,4.99,44%,5.39,52%,0.26,100%,64%,0.3,http://ufcstats.com/fighter-details/2244d9a2b64b8c3b,,WWWWW
Branko Cikatic,"6' 1""",215 lbs.,,Orthodox,1954-10-03,0,2,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/4e5bbc4566049cbf,,WWWWW
Nikolajus Cilkinas,,,,Orthodox,,2,6,0,0.0,0%,5.88,16%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/3f3550bf126a5721,,WWWWW
Misha Cirkunov,"6' 3""",205 lbs.,"77.0""",Orthodox,1987-02-27,15,9,0,3.86,51%,3.06,57%,4.15,39%,76%,1.7,http://ufcstats.com/fighter-details/67f272324a030d00,,WWWWW
Johnny Cisneros,"5' 11""",170 lbs.,,,1980-02-05,9,6,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/42611508ba8c3298,,WWWWW
Laverne Clark,"5' 11""",170 lbs.,,Orthodox,1973-12-02,27,21,1,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/1c2f2571b18791b6,,WWWWW
Logan Clark,"6' 2""",185 lbs.,,Orthodox,1985-02-16,18,6,0,2.2,54%,1.49,53%,0.31,100%,30%,2.1,http://ufcstats.com/fighter-details/6776260cb0aef647,,WWWWW
Mychal Clark,"6' 3""",224 lbs.,,Orthodox,,10,14,0,5.8,56%,2.9,59%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/69108cb8b32efe04,,WWWWW
Dominic Clark,"5' 10""",155 lbs.,,,1985-08-01,10,7,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/8a64b3f87ad29d1e,,WWWWW
Heather Clark,"5' 6""",115 lbs.,"64.0""",Orthodox,1980-09-19,7,6,0,3.69,49%,5.62,50%,0.33,4%,80%,0.3,http://ufcstats.com/fighter-details/dd4c16777fb2ccf9,,WWWWW
Devin Clark,"6' 0""",205 lbs.,"75.0""",Orthodox,1990-04-12,14,9,0,3.03,54%,3.24,44%,2.17,32%,58%,0.1,http://ufcstats.com/fighter-details/cc7040fe76f0ef91,,WWWWW
Jessica-Rose Clark,"5' 5""",135 lbs.,"64.0""",Orthodox,1987-11-28,11,9,0,3.73,51%,3.51,58%,1.66,42%,62%,0.3,http://ufcstats.com/fighter-details/6c8072b61c276e67,,WWWWW
Shannon Clark,"5' 5""",125 lbs.,"64.0""",Orthodox,1992-07-07,5,1,0,11.51,58%,20.55,35%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/7ae36b3791e0969a,,WWWWW
John Clarke,,170 lbs.,,,1977-08-15,1,1,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/a77c71a574132188,,WWWWW
Mitch Clarke,"5' 10""",155 lbs.,"73.0""",Orthodox,1985-11-24,11,5,0,2.35,34%,3.27,47%,0.64,15%,50%,0.4,http://ufcstats.com/fighter-details/c76ec2bc3a57666a,,WWWWW
Rich Clementi,"5' 9""",155 lbs.,"72.0""",Southpaw,1976-03-31,45,23,1,1.43,37%,2.29,60%,1.72,42%,25%,1.1,http://ufcstats.com/fighter-details/7d21de9c6d7c98b2,,WWWWW
Chris Clements,"5' 10""",170 lbs.,"70.0""",Orthodox,1976-02-09,12,6,0,3.2,49%,2.37,44%,0.0,0%,32%,0.3,http://ufcstats.com/fighter-details/e5ecaf884b6da2bc,,WWWWW
RJ Clifford,,160 lbs.,,,,4,3,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/8e32bfcff3ec1717,,WWWWW
Mark Climaco,"5' 4""",125 lbs.,"65.0""",Southpaw,1997-11-06,9,2,0,4.13,59%,2.9,57%,3.5,36%,46%,0.0,http://ufcstats.com/fighter-details/60098849c703e389,,WWWWW
Josh Clopton,"5' 6""",145 lbs.,,Orthodox,1981-07-11,6,2,1,1.6,64%,2.87,50%,2.0,66%,75%,0.0,http://ufcstats.com/fighter-details/48e96d9cea6d4ab0,,WWWWW
Brian Cobb,"5' 11""",155 lbs.,,Orthodox,1980-09-03,20,9,0,0.0,0%,3.68,55%,5.81,50%,0%,0.0,http://ufcstats.com/fighter-details/3138fab619faf4d1,,WWWWW
Darryl Cobb,"5' 9""",185 lbs.,,,1980-08-04,6,8,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/dc6d8256ee3dfba5,,WWWWW
Dave Cochran,"5' 6""",155 lbs.,,,1973-05-10,26,29,1,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/6dbb1107de9a4a08,,WWWWW
Dakota Cochrane,"5' 8""",155 lbs.,,,1986-05-01,29,12,0,2.66,75%,2.66,30%,4.43,33%,0%,0.0,http://ufcstats.com/fighter-details/8fa7e0bc052185ce,,WWWWW
Marloes Coenen,"5' 9""",145 lbs.,"67.0""",,1981-03-31,23,8,0,2.15,51%,1.9,67%,0.82,30%,41%,2.5,http://ufcstats.com/fighter-details/0b77a05bcbd2de74,,WWWWW
Marc Cofer,,185 lbs.,,,1972-03-03,7,5,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/e90d9d0681270953,,WWWWW
John Cofer,"5' 9""",155 lbs.,,Southpaw,1984-04-29,8,4,0,2.73,41%,3.43,62%,1.22,50%,64%,0.0,http://ufcstats.com/fighter-details/8b260672a21d1fd6,,WWWWW
Chris Coggins,,,,,,7,10,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/a0c29b13f7a5df32,,WWWWW
Felipe Colares,"5' 8""",145 lbs.,"69.0""",Orthodox,1994-03-31,10,4,0,2.17,45%,4.65,36%,1.88,24%,43%,0.5,http://ufcstats.com/fighter-details/dbac0a413af64bbe,,WWWWW
Wayne Cole,"6' 1""",205 lbs.,,Orthodox,1971-01-06,16,25,0,0.57,20%,8.33,27%,4.31,25%,0%,4.3,http://ufcstats.com/fighter-details/2eab7a6c8b0ed8cc,,WWWWW
Devin Cole,"6' 4""",240 lbs.,,Orthodox,1976-10-01,20,10,1,3.5,55%,2.14,48%,2.18,42%,66%,0.0,http://ufcstats.com/fighter-details/1174782eacde9b0c,,WWWWW
Coltin Cole,,185 lbs.,,,1989-04-24,4,5,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/cecd72feb0d640e3,,WWWWW
Ivan Cole,"5' 9""",135 lbs.,,,1990-11-30,2,3,0,2.68,36%,4.69,46%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/987b80f57190d6d0,,WWWWW
Chandler Cole,"5' 10""",264 lbs.,"72.0""",Orthodox,1995-01-09,10,4,0,2.45,60%,3.59,26%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/5d8a9c95af50280a,,WWWWW
Mark Coleman,"6' 1""",205 lbs.,"75.0""",Orthodox,1964-12-20,16,10,0,1.88,52%,2.62,40%,3.89,40%,50%,0.8,http://ufcstats.com/fighter-details/21b8a0f5c231096f,,WWWWW
Cortez Coleman,"6' 1""",185 lbs.,,,1982-01-28,13,8,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/ffb20ae0db47ebe6,,WWWWW
Clay Collard,"5' 11""",145 lbs.,"73.0""",Orthodox,1993-03-10,14,7,0,4.22,32%,5.0,50%,2.81,39%,71%,0.5,http://ufcstats.com/fighter-details/cc900c6a71ed23f3,,WWWWW
Jamie Colleen,"5' 3""",115 lbs.,"65.0""",Orthodox,1985-11-02,4,1,0,3.11,61%,5.66,33%,0.52,33%,50%,1.6,http://ufcstats.com/fighter-details/6b64db453edf4c50,,WWWWW
Jake Collier,"6' 3""",230 lbs.,"78.0""",Orthodox,1988-10-25,13,10,0,5.8,44%,5.08,50%,0.71,33%,67%,0.6,http://ufcstats.com/fighter-details/92fa1401b7927da3,,WWWWW
Christian Colombo,"6' 5""",265 lbs.,,Orthodox,1980-07-01,8,3,1,2.76,44%,4.02,42%,0.0,0%,33%,0.0,http://ufcstats.com/fighter-details/9123c54d0a2b72dd,,WWWWW
Willian Colorado,"5' 10""",135 lbs.,"72.0""",,1986-06-21,11,1,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/dfc7f0a2d91ad337,,WWWWW
Wes Combs,"6' 2""",205 lbs.,,Orthodox,1973-06-18,20,6,0,2.14,48%,4.73,45%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/a85998eb79650b2c,,WWWWW
Rose Conceicao,"4' 7""",115 lbs.,"65.0""",Orthodox,1997-05-13,7,1,0,3.07,28%,6.73,60%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/a76c07e8e4c76e9a,,WWWWW
Roque Conceicao,"5' 4""",125 lbs.,"67.0""",Orthodox,1999-10-27,10,3,0,2.73,40%,9.09,41%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/b4ebc1539a08054b,,WWWWW
Carlos Condit,"6' 2""",170 lbs.,"75.0""",Orthodox,1984-04-26,32,14,0,3.66,39%,2.67,55%,0.59,46%,38%,1.0,http://ufcstats.com/fighter-details/f9f07bb5a43535ed,,WWWWW
Chris Condo,"6' 0""",335 lbs.,,Orthodox,,0,1,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/41e77dc504a192c6,,WWWWW
Jack Congdon,"6' 2""",170 lbs.,"75.0""",Switch,1997-05-21,7,2,0,5.29,35%,9.71,21%,0.0,0%,100%,0.0,http://ufcstats.com/fighter-details/c44530d3969134a3,,WWWWW
Tristan Connelly,"5' 10""",145 lbs.,"68.0""",Orthodox,1985-12-12,14,8,0,3.31,51%,2.96,50%,0.33,14%,60%,0.3,http://ufcstats.com/fighter-details/2ebfbe72ed703925,,WWWWW
Marcos Conrado Jr.,"6' 2""",220 lbs.,,Orthodox,1982-03-14,5,1,0,1.6,34%,9.69,35%,1.84,14%,0%,0.0,http://ufcstats.com/fighter-details/d450769115a193c2,,WWWWW
Jeremiah Constant,"6' 1""",240 lbs.,,Orthodox,1974-07-19,11,8,0,1.5,75%,3.25,43%,0.0,0%,0%,7.5,http://ufcstats.com/fighter-details/18f5669a92e99d92,,WWWWW
Jonathan Contrestano,,155 lbs.,,,,6,0,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/06d4eb8123087123,,WWWWW
Bob Cook,"5' 9""",170 lbs.,,Orthodox,,5,0,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/1c061eb6e29eaa0a,,WWWWW
Mike Cook,"6' 1""",205 lbs.,,Orthodox,1981-10-07,13,13,0,1.72,49%,2.4,46%,1.03,33%,55%,2.1,http://ufcstats.com/fighter-details/3ab0df1ddd5f1dc2,,WWWWW
Chad Cook,"6' 2""",205 lbs.,,,1979-11-07,10,12,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/e6daf9cdbf0da889,,WWWWW
TJ Cook,,205 lbs.,,,1982-09-08,13,5,0,2.3,47%,3.18,54%,1.01,50%,0%,0.0,http://ufcstats.com/fighter-details/fa238ecfd048f7d8,,WWWWW
Dewey Cooper,,205 lbs.,,,1974-11-10,2,1,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/5efaaf313b652dd7,,WWWWW
Brett Cooper,"6' 0""",170 lbs.,,Orthodox,1987-07-02,23,12,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/88ffe9745e218dd8,,WWWWW
Bill Cooper,,155 lbs.,,,1984-05-05,2,1,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/78bd6940d093fd33,,WWWWW
Bobby Cooper,"6' 1""",155 lbs.,,,,12,7,0,2.87,25%,3.4,59%,0.0,0%,40%,1.0,http://ufcstats.com/fighter-details/1b51895e5572cfda,,WWWWW
Amanda Cooper,"5' 3""",115 lbs.,"64.0""",Switch,1991-10-22,3,5,0,3.55,44%,3.2,51%,1.53,38%,28%,1.8,http://ufcstats.com/fighter-details/d4a31850a7457f1b,,WWWWW
Kit Cope,"6' 0""",170 lbs.,,Orthodox,1977-03-17,6,7,0,1.18,52%,2.12,35%,0.0,0%,50%,3.5,http://ufcstats.com/fighter-details/ce47f49e5c386a9c,,WWWWW
Chris Cope,"6' 0""",170 lbs.,"72.0""",Orthodox,1983-03-05,8,4,0,3.96,26%,4.82,50%,0.0,0%,80%,0.0,http://ufcstats.com/fighter-details/8c8c92a12621d7e0,,WWWWW
Josh Copeland,"6' 1""",265 lbs.,,Orthodox,1982-10-20,12,4,0,1.03,31%,3.01,55%,0.0,0%,57%,0.0,http://ufcstats.com/fighter-details/3aa794cbe1e3484b,,WWWWW
Michael Cora,"6' 1""",170 lbs.,"77.0""",Southpaw,1989-08-24,4,1,0,0.8,28%,0.13,66%,0.0,0%,25%,0.0,http://ufcstats.com/fighter-details/2b91eff985b532cd,,WWWWW
Akira Corassani,"5' 8""",145 lbs.,"68.0""",Orthodox,1982-08-27,12,6,0,3.25,45%,4.91,50%,0.7,28%,86%,0.0,http://ufcstats.com/fighter-details/3f52ce18fb98008f,,WWWWW
Muhsin Corbbrey,"5' 10""",155 lbs.,,Orthodox,1978-05-18,17,9,0,2.02,34%,5.41,53%,0.0,0%,80%,0.4,http://ufcstats.com/fighter-details/1f9344211ca7fd60,,WWWWW
Alden Coria,"5' 8""",125 lbs.,"67.0""",Orthodox,1998-04-24,12,3,0,4.69,44%,2.4,69%,1.75,50%,71%,0.0,http://ufcstats.com/fighter-details/5e9ca8dd7d783a75,,WWWWW
Daniel Cormier,"5' 11""",235 lbs.,"72.0""",Orthodox,1979-03-20,22,3,0,4.25,52%,2.92,54%,1.83,44%,80%,0.4,http://ufcstats.com/fighter-details/d967f0128c323de6,,WWWWW
Nora Cornolle,"5' 7""",135 lbs.,"67.0""",Orthodox,1989-12-06,9,4,0,2.73,55%,2.04,56%,0.22,11%,47%,0.2,http://ufcstats.com/fighter-details/f2b3f4ef3f780168,,WWWWW
Clint Coronel,,155 lbs.,,,1981-06-15,2,5,0,4.93,32%,5.6,66%,0.0,0%,66%,0.0,http://ufcstats.com/fighter-details/fe67cd6423f7a8ad,,WWWWW
Henry Corrales,"5' 9""",145 lbs.,,,,13,3,0,4.12,41%,5.84,55%,0.0,0%,69%,0.0,http://ufcstats.com/fighter-details/7cb0946d51b8cde7,,WWWWW
Bethe Correia,"5' 5""",135 lbs.,"64.0""",Orthodox,1983-06-22,11,6,1,4.37,43%,4.93,56%,0.39,18%,85%,0.0,http://ufcstats.com/fighter-details/673ea7dcc786b1b3,,WWWWW
Wesley Correira,"6' 3""",260 lbs.,,Orthodox,1978-11-11,20,16,0,2.6,36%,8.8,40%,0.0,0%,90%,0.0,http://ufcstats.com/fighter-details/4e9fb05d7e5e61b8,,WWWWW
Waldo Cortes Acosta,"6' 4""",260 lbs.,"78.0""",Orthodox,1991-10-03,17,2,0,5.54,49%,3.38,56%,0.44,57%,72%,0.1,http://ufcstats.com/fighter-details/fc08099550072fe4,,WWWWW
Tracy Cortez,"5' 5""",125 lbs.,"65.0""",Orthodox,1993-12-10,12,3,0,3.86,48%,3.01,57%,2.15,46%,59%,0.3,http://ufcstats.com/fighter-details/68d4a891e5cf2029,,WWWWW
Reyes Cortez Jr.,"5' 7""",135 lbs.,"68.0""",Orthodox,1992-07-31,7,3,0,4.1,45%,7.43,52%,1.5,11%,100%,0.0,http://ufcstats.com/fighter-details/1a7d44196949577c,,WWWWW
Chad Corvin,"6' 5""",255 lbs.,,,,5,0,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/1267b631db78665a,,WWWWW
Louis Cosce,"5' 9""",170 lbs.,"71.0""",Orthodox,1995-08-27,7,2,0,4.31,45%,5.35,47%,1.04,20%,50%,0.5,http://ufcstats.com/fighter-details/afe8d5b39ff7fca2,,WWWWW
Orion Cosce,"5' 11""",170 lbs.,"71.0""",Switch,1994-07-15,8,2,0,2.77,53%,4.02,44%,1.92,40%,61%,0.0,http://ufcstats.com/fighter-details/2c010b26a3306969,,WWWWW
Miguel Cosio,"6' 4""",205 lbs.,,,1981-02-18,1,13,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/d150c6fbdb7687f4,,WWWWW
Jadson Costa,"5' 7""",155 lbs.,,Orthodox,1980-11-18,22,8,0,0.2,50%,3.05,50%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/222d6b547de2e035,,WWWWW
Guilherme Costa,,155 lbs.,,,,7,1,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/28877eddb1c0b967,,WWWWW
Paulo Costa,"6' 1""",205 lbs.,"72.0""",Orthodox,1991-04-21,15,4,0,6.26,58%,6.2,49%,0.32,50%,80%,0.0,http://ufcstats.com/fighter-details/2e5c2aa8e4ab9d82,,WWWWW
Randy Costa,"5' 9""",135 lbs.,"73.0""",Switch,1994-07-06,6,4,0,6.53,46%,7.58,58%,0.0,0%,50%,0.0,http://ufcstats.com/fighter-details/325ad0dd9126d3df,,WWWWW
Alessandro Costa,"5' 4""",125 lbs.,"67.0""",Orthodox,1996-01-28,14,5,0,3.64,44%,3.57,57%,0.46,16%,83%,0.5,http://ufcstats.com/fighter-details/3fa97913cfd205d3,,WWWWW
Melquizael Costa,"5' 10""",145 lbs.,"71.0""",Southpaw,1996-09-14,26,7,0,4.38,49%,2.97,54%,2.0,40%,58%,1.1,http://ufcstats.com/fighter-details/20bccc9bb4ceb23e,,WWWWW
Vitor Costa,"6' 2""",185 lbs.,"75.0""",Orthodox,2000-09-19,8,2,0,7.36,54%,9.62,50%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/c41cbb5bf944ca54,,WWWWW
Oscar Cota,"6' 0""",230 lbs.,"72.0""",Orthodox,1984-10-15,11,3,0,0.33,41%,2.47,41%,0.0,0%,60%,1.0,http://ufcstats.com/fighter-details/f584a6e0b5b74604,,WWWWW
Patrick Cote,"5' 11""",170 lbs.,"75.0""",Orthodox,1980-02-29,23,11,0,2.81,48%,3.21,48%,0.68,20%,43%,0.2,http://ufcstats.com/fighter-details/9fa3bd637edd9aa2,,WWWWW
JC Cottrell,"5' 9""",155 lbs.,,Orthodox,1989-11-04,17,5,0,0.79,25%,2.75,45%,0.79,100%,50%,0.0,http://ufcstats.com/fighter-details/3ec1e4ba98c9c85a,,WWWWW
JR Coughran,"5' 6""",145 lbs.,,Orthodox,1994-05-17,4,1,0,12.29,57%,6.8,45%,0.0,0%,75%,0.0,http://ufcstats.com/fighter-details/8112c9a23dccc759,,WWWWW
Rashad Coulter,"5' 11""",205 lbs.,"76.0""",Orthodox,1981-11-27,9,4,0,4.82,56%,6.68,50%,0.0,0%,62%,0.0,http://ufcstats.com/fighter-details/d1528ac5675558b1,,WWWWW
Dave Courchaine,"5' 8""",170 lbs.,,,1983-02-08,20,7,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/79ab17db3b40831a,,WWWWW
Randy Couture,"6' 1""",205 lbs.,"75.0""",Orthodox,1963-06-22,19,11,0,2.85,57%,1.53,59%,2.78,46%,58%,0.5,http://ufcstats.com/fighter-details/0aa92558424ced9e,,WWWWW
Kim Couture,"5' 8""",135 lbs.,,Orthodox,1975-12-18,3,8,0,12.12,80%,2.31,69%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/84c43f0d25f15b0b,,WWWWW
Ryan Couture,"5' 10""",155 lbs.,"73.0""",Orthodox,1982-08-27,11,5,0,3.54,45%,2.87,54%,1.55,29%,46%,1.3,http://ufcstats.com/fighter-details/46fd223e3ced39b3,,WWWWW
Nikk Covert,"5' 8""",185 lbs.,,,1969-08-04,3,4,0,0.0,0%,0.0,0%,0.0,0%,0%,0.0,http://ufcstats.com/fighter-details/400c7b43c86d27d3,,WWWWW
Colby Covington,"5' 11""",170 lbs.,"72.0""",Orthodox,1988-02-22,17,5,0,3.81,38%,3.09,54%,3.64,42%,68%,0.2,http://ufcstats.com/fighter-details/dc9572dd6ec74859,,WWWWW
Hailey Cowan,"5' 8""",135 lbs.,"67.0""",Southpaw,1992-02-12,7,4,0,2.5,42%,2.79,33%,1.63,36%,80%,0.0,http://ufcstats.com/fighter-details/3c26c420584d912d,,WWWWW
